agent_name,agent_notified,agent_responded,grand_total
Vincent Evans,106,21,127
Raymond Watson,13,27,40
Daniel Martinez,63,121,184
Edgar Hart,28,139,167
Brian Clark,7,16,23
Gordon Kennedy,59,32,91
Matthew Davis,74,97,171
Spencer Reed,16,26,42
Adrian Phillips,12,6,18
Joshua Garcia,3,5,8
Douglas Butler,9,13,22
Nicholas White,3,9,12
Thomas Brooks,25,13,38
Cameron Nelson,59,64,123
Trevor Morris,11,11,22
Cole Rogers,0,2,2
Brandon Miller,90,82,172
Travis Morgan,8,27,35
Clifford Flynn,30,83,113
Maurice West,10,66,76
Frederick Price,18,70,88
Carson Stewart,0,1,1
Justin Lewis,2,1,3
Melvin Lowe,25,47,72
Vernon Fuller,2,14,16
Shane Ward,36,47,83
Leroy Wade,16,16,32
Grant Cooper,2,8,10
Randall Beck,19,2,21
Victor Webb,4,5,9
Lawrence Alexander,2,10,12
Marcus King,4,3,7
Arthur Jenkins,110,27,137
Claude Chapman,18,3,21
Harry Flores,61,4,65
Kenneth Brooks,53,90,143
Connor Lopez,11,190,201
Hugo Walton,17,25,42
Julius Delgado,4,45,49
William Foster,38,106,144
Wesley Richardson,2,4,6
Ralph Patterson,4,22,26
Ryan Peterson,206,1,207
Louis Henderson,0,5,5
Tyler Moore,14,14,28
Oscar Newman,0,1,1
Austin Baker,0,2,2
Caleb Mitchell,4,1,5
Edwin Sanders,10,14,24
Walter Foster,3,7,10
